id,message
1171,"[L'EXPRESS]: Les Lib___°Ø___˝riens appel___°Ø___˝s aux urnes: Le Liberia vote ce mardi pour une triple ___°Ø___˝lection. Pr___°Ø___˝sident, d___°Ø___˝pu... http://t.co/gqqS0av5"
262,Liberia was once branded a FAILED state. We've come a long way. #LiberiaElections
1421,u can monitor live right now at www.mylbsonline.net
2094,LIBERIA ___°È_°È______°È____°∞ Elections pr___°Ø___˝sidentielles et l___°Ø___˝gislatives au Liberia http://t.co/lkgT4NUd
1769,name of politics. The time to pray is over because ballot boxes were pre-stuffed and ballots were pre-marked in advance. Let's GET READY TO START A NATIONAL PRAYER RETREAT for the aftermath if the slightest inkling of cheating is verified
3982,"Liberia___°È_°È______°È____°Ès Tubman says sure of winning: Monrovia ___°È_°È______°È____°∞ Winston Tubman, the main rival in Liberia___°È_°È______°È____°Ès elections to incum... http://t.co/NauWsudf"
1426,Liberia: A time to change perceptions?: Mention Liberia and you could be forgiven for thinking of child soldiers... http://t.co/hrlz0kJI
3053,Lovetta Thompson has been blocked!!!!!!!!
1850,Lawrence u are doing very well on the election process thanks a lot.
1622,Liberia: Liberian Elections 2011 http://t.co/kxZG0iPE #Liberia2011
2031,"RT @madkentdragon: RT @UNPeacekeeping: As Liberians head 2 polls, #UN ready 2 help w/ security http://t.co/PrjBCqT6 via @UN_News_Centre  ..."
4189,"i think so, sam you need to tell us the center or community that these results came f"
2103,"RT @OHHmaagaawdB: ___°È_°È______ˇ___@MichaelBlackson: If u r in Liberia please go to klara town which is part of monrovia n give my cousin $90, he just c ..."
2043,"at one voting area, the main observers present: UN, 15 reps from all political parties, NEC, EU, African Union, ECOWAS #Liberia2011 #Liberia"
224,"aiii q pereza este internet, llego primero a Liberia caminado a q me cargue esa fucking pagina -.-"
3142,Thnx a lot bro this lady got PHD in pathological lies
3323,Nobel winner seeks re-election in Liberia: ________†Liberians braved pouring rain Tuesday to vote in the country's s... http://t.co/RYgzEcyc
3161,"RT @ddieudonne: I can report smooth polling in #Liberia today.  Long queues, lots of excitement with rain in the morning and bright sun  ..."
2461,La presidenta de Liberia busca la reelecci___°Ø____n tras recibir el Nobel de la Paz http://t.co/q127tNWi V___°Ø____a @abc_es
4470,"#Liberia elections: Despite rain, Liberians turn out in huge numbers to vote http://t.co/AIr9DFPD"
2652,"""I will accept a result that is democratic and transparent"" George Weah"
1522,Well said. And the Liberian people say NEVER AGAIN!
974,"Long queues for Liberia election: There are long queues outside polling stations in Liberia's capital, Mon... http://t.co/1OZN82Qb #news"
951,"Long queues for Liberia election: There are long queues outside polling stations in Liberia's capital, Monrovia, as President Ellen J..."
3942,Liberia: Woman of Peace___°È_°È______°È____ùLeymah Gbowee (Women's Media Center):  http://t.co/kj1pKqk0
3602,"Frm d day I read d frist comment frm dat individual I known where we were heading. Tks Lawrence. Bt watch out, might surface wit another fake name n picture."
298,Why will you bother to discuss with somebody who talks with his back?
4362,Ok. Thanks hun. Anxiety is running through my veins. Will check out ushahidi as well
3920,"RT @sarankjones: 1st unofficial prelim results from Pres Sirleaf home county of #Gbapolu, claiming 97% of votes to Unity Party #Liberia  ..."
1033,Liberia: #polls open in 2nd postwar election http://t.co/WGsAn2g1
3748,"UPDATE 4-Liberia ends peaceful vote, braces for results"
3485,"CDC LIVE PRESS CONFERENCE COMING SHORTLY:  TURN IN TO 'VOICE OF GEDEH' FOR LIVE COVERAGE
116,"@GATOCR1974 mmm pues estancada jajaja, porq estoy en la logistica de ver como me llevo las cosas para Liberia."
4721,When your sins are an open book ...what's there to fear really. I can't wait for folks like Edward Wea Neufville III to safely return and explain to us this PYJ phenomenon they had the privilege of viewing... :-)
3206,"La presidenta de Liberia, galardonada con el Nobel, aspira a un nuevo mandato: En estas elecciones presidenciale... http://t.co/HKVddISX"
458,Liberia kiest nieuwe president: Liberia kiest vandaag een nieuwe president. De huidige president Ellen Johnson-S... http://t.co/0xodWm6b
3134,"your voice is your vote: make a mighty noise. happy election day, #Liberia! let's keep it free, fair, and peaceful..."
660,En 2003 acabaron 15 a___°Ø___°¿os de guerra civil en Liberia. Medicos sin fronteras posee mas medicos que todo el ministerio de sanidad.
2473,"For years, #Liberia has been associated with warlords and child soldiers. Is it time to change the perception? http://t.co/RgeLkxOx"
82,@StefanaYasminee and a one way ticket to Liberia
2856,BBC reports 'huge' turnout in Liberian poll: http://t.co/S4FAMCwy #Liberia2011
815,Long queues at Liberia election ... @ http://t.co/PsAzzATI
531,RT @AJEnglish: How will the #Nobel Peace Prize awarded to Ellen #Johnson-Sirleaf impact #Liberia's elections? http://t.co/OqwMC8cv
3604,"My people ur come ohhhh, Amb. Weah just did it again Ohhh. Imagine with all the voter education on television n radio, he has experienced difficulties in voting. I am watching power TV Amb. Weah seem paranoid. He left from behind the voting booth to ask a question...""that if he vote, using his index/thumb to vote, whether the ink won't touch there other candidates? Because he is using his finger to vote. Why should an educated man use his thumb or index to vote when U have pens available in the booth? He's afraid that his vote might be invalid...lol."
4004,"remsee can you tell me what you are seeing on real tv please bro, some guys are lying here to us, becoz we are not there to see first hand informations bro."
4197,"I believe it came from those 3-4 precincts initially reported - West point, GW Gibson, Waterside, etc..in most places, only 1-2 of teh polling places ahve counted thier ballots so its wayyyyyyyyy to early o strat anything"
3956,from hoot Liberia's Tubman says sure of winning - News24 http://t.co/4OkMCv2f
4774,11:53 pm current count: UP-16239; CDC-14426; NUDP-3154; LP-2136; courtesy of RTV Liberia.
3026,"Piso Saydee-Tarr, every body is not using their thumb. STOP miss leading people. Behind the booth, U have  pens available n also inks(black n blue ink). Even Amb. Tubman use pen....lol."
1571,RT @woman_kind: In #Liberia people are going to the polls today and calling for change - new post on women's rights and election fever h ...
746,Liberia election: Sirleaf faces Tubman challenge - BBC News: Reuters AfricaLiberia election: Sirleaf faces Tubma... http://t.co/irvc2IaV
3788,What is not fair?
2674,Nobel prize may not guarantee re-election for Liberia's Ellen Johnson Sirleaf - Washington Post http://t.co/ivTTCUqB
3962,"RT @WomenWarPeace: ""People...thought [Liberia] required a man... I must say that I hope we're proving them wrong."" President Ellen Johns ..."
188,"@ Mr. Peah, Morality is ""the quality of being in accord with standards of right or good conduct"". You seem to lack the discipline that's needed to see past your personal convictions. This is not about ""competition"" (The enemy of my enemy is my friend). I "
3147,"If someone decides to use their thump, does it means u are not educated? u guys need to stop acting super educated around here. he has got the choice to vote the way he wants to. It is offending to make this out of an issue."
594,LIBERIA: Nobel laureate seeks re-election in fateful polls http://t.co/RQCEKASu
147,An analysis of Liberia's 2007 National Health Policy: lessons for health systems strengthening and chronic disease... http://t.co/keoq5zL1
1582,"voted, and the process was calm. there was some line confusion as expected. took three hours to vote"
3323,Nobel winner seeks re-election in Liberia: ________†Liberians braved pouring rain Tuesday to vote in the country's s... http://t.co/RYgzEcyc
4453,"These are early results from Polling places in Bong, Montserrado and Bomi.....at this stage, the results really don't give any picture.....keep visiting the site. As we intend to present information accurately, we are taking our time verifying these results with the journalists reporting across the country...be patient..counting is still ongoing in lot of areas"
42,"In Liberia Race, a Soccer Star Attacks http://t.co/j4pxCOnP"
3666,RT @UNPeacekeeping: More than 1.79 million Liberians have registered to vote in today's #election - #photo from our mission #UNMIL http: ...
704,"RT @purefoyCNN: voting day in #liberia : who will Liberians vote for - ""monkey"" or ""baboon""?"
569,Pr___°Ø___°Ësidentenwahl in Liberia: In Liberia finden heute (Dienstag) Pr___°Ø___°Ësidentenwahlen statt. Als Favoritin ... http://t.co/qZAArz2H #domradio
4539,New Post Oil spill is worst environmental sea disaster in New Zealand: The oil leaking from the stricken Liberia... http://t.co/uGz4Q4wK
1875,I liked a @YouTube video http://t.co/rpXuQonR PEACE IN LIBERIA - ALPHA BLONDY THE WRONG
4059,Counting still going on in most places...but you can find early results as they come in now just few polling stations have reported so far....www.lmcliberia.com
4038,Lovetta Thompson has been blocked!!!!!!!!
289,"Laureate, Striker Face Off in Liberia http://t.co/HzyRFUCU via @WSJ"
158,"RT @cmuCIPI: Wishing the people of #Liberia and the NEC well, hoping for peaceful balloting on the eve of the #Elections. #Liberia2011"
3718,"liberia, follow ya boy buckay,"
3230,Folks we need to discuss the issue and not personality. Great step Randall.
658,Electrical Power Engineer Job Vacancy in Liberia http://t.co/LpqRNwmr
2345,Any latest development about the election in #liberia? I pray it will be a peacefull one. Ameen
2802,RT @eburrowes: Bright sunny voting day in #Buchanan. Plenty police present. #Liberia2011
4696,Observers Give Good Grades as Liberia Holds General Elections: President Sirleaf seeks second term against stron... http://t.co/2DyGAfst
1066,"this serious folks politics may be a game, but a serious game of peoples lives... my life, your life and liberian lives...  this serious,"
4138,I think this blocking issue has to be  brought to rest and discuss something good.
3794,RTV.PE : Cierran los comicios en Liberia sin reportes de disturbios. Son las primeras elecciones desde que termin___°Ø____ la guerar civil.
3034,Spotlight on Liberia___°È_°È______°È____°Ès presidential and legislative elections as ___°È_°È________°∞security ___°È_°È_________ - http://t.co/2XSMyhj7
3178,RT @texasinafrica: Turnout in LIberia very high despite heavy rains: http://t.co/BWG0cEfi
3970,Nobel peace prize could not have come at a better time for Liberia http://t.co/g5JtPkWT
2989,Great job Lawrence Randall! But let me inform you that we took interest in your group to monitor the elections all because of your instiution credibility. Pls be quick to remove unconfirmed posts by any member of this group.
4000,Liberia on the vote - national elections to be followed up on... What's your say? http://t.co/J6t0RZd2
352,#NewsFlash: Liberia votes today: http://t.co/mV0Rdux7
4060,La jornada electoral concluye en #Liberia sin incidentes a falta de saber el resultado http://t.co/qZw2QSFu via @la_informacion #liberia2011
3515,The polling stations have just closed...The countdown begins! Some people HBP coming to go up...Lol
1920,#Liberia: In the shadows of civil war? - Inside Story - Al Jazeera English http://t.co/fNz34QdE via @ajenglish
734,The Global Citizens are fully supporting to the Liberia Presidential Candidate Ambassador Winston Tubman for better and prosperous Liberia.
740,BBC News: Long queues at Liberia election http://t.co/syBnIehS
1397,RT @bbchausa: Ana zaben Shugaban Kasa a Liberia: Al'umar Liberia sun fara kada kuri'a a zaben shugaban kasar wanda shi ne zabe... http:/ ...
2602,Liberia is standing up http://t.co/tyZyS9kM 80% unemployment THE WORLD IS WATCHING #occupywallstreet #occupydc #occupynewyork #occupyatlanta
4562,"CDC IS LEADING SO FAR, BUT THIS IS JUST PRELIMINARY RESULTS, NOT ANYTHING TO MAKE A PREDICTION ON.
4690,Opening the gap small small...
4141,Counting still going on in most places...but you can find early results as they come in now just few polling stations have reported so far....www.lmcliberia.com
3224,"hahaha...well let see. as of tomorrow,  I will start my noise...lol"
4388,correction via @vote4africa and @lkpargoi #Gparpolu neighbors Sirleaf's home county of Bomi  #Liberia #Liberia2011
1337,Polls# open in #Liberia...#peaceful#voting so far.  Check out @Bonnie_Allen1 's insightful piece on PRI's The World http://t.co/0235WqHg
4243,"Correction v @lkpargoi (Thanks!) Sirleaf's home county is Bomi not #Gbapolu, as RT'ed: http://t.co/UyeLw0z9 cc @sarankjones #Liberia #Africa"
444,NIEUWS Tubman: Taylor mag terug: Tubman: Taylor mag terug Ex-president Charles Taylor mag naar Liberia terugkere... http://t.co/ffRL22eC
311,RT @LizPangerl: Congratulations to Liberia's Leymah Gbowee on being awarded the Nobel Peace Prize.
2351,RT @liberiaelection: National Elections Commission expects more than 1.7 million registered voters to vote  http://t.co/1gxt1jCg #Liberi ...
4141,Counting still going on in most places...but you can find early results as they come in now just few polling stations have reported so far....www.lmcliberia.com
2725,Today is Liberia election. ..God i put my country in ur hands..help them make good decision lord
2099,LIBERIA ___°È_°È______°È____°∞ Elections pr___°Ø___˝sidentielles et l___°Ø___˝gislatives au Liberia http://t.co/P24mI8dA
2995,"Excitement as election fever grips Liberia: Thousands of young men shouting, driving in pick-up trucks and takin... http://t.co/SWqKb4Ag"
2458,Nobel could not have come at a better time for Liberia - By Robtel Neajai Pailey Liberian president Ellen Johnson Si... http://t.co/kDPWddnv
1421,u can monitor live right now at www.mylbsonline.net
633,[BBC-Africa] VIDEO: Liberia's presidential contest close: Africa's first democratically elected female president... http://t.co/EHF4ZxB5
4577,Liberia votes for president http://t.co/oPEIMA17
2858,Observers Give Good Grades as Liberia Holds General Elections: President Sirleaf seeks second term against stron... http://t.co/pBsOShWT
648,"Liberia acude a las urnas por la consolidaci___°Ø____n de su fr___°Ø____gil democracia: La oposici___°Ø____n en el pa___°Ø____s tacha de ""maniob... http://t.co/34qSOjJM"
1413,RT @bbchausa: Ana zaben Shugaban Kasa a Liberia: Al'umar Liberia sun fara kada kuri'a a zaben shugaban kasar wanda shi ne zabe... http:/ ...
2262,RT @reggaefanatic: Praying for a peaceful election day in Liberia. May the best candidate win and continue to ... http://t.co/OBMtrBaF
2272,"soo Liberia and Libya sound alittle alike wish i new that wheni misheard #npr say a nobel peace winner was the last president of ""libya"""
2789,"RT @blessingmpofu: praying for #liberia for successful, fair & peaceful elections. please RT  #pray #africa #elections #democracy"
4613,RT @plancaster: Am sad I couldn't be there in person for #Liberia2011! Thx @sarankjones @moved2monrovia @aaronleaf @ushahidiliberia etc. ...
3088,"RT @AJELive: For years, #Liberia has been associated with warlords and child soldiers. Is it time to change the perception? http://t.co/ ..."
1758,RT @liberiaelection: The babies are not left out #Liberia2011 http://t.co/u2Aucuue
4080,http://t.co/xXZw4NXj Liberia: CDC Unveils Platform of Eight Code Areas
952,RT @TheNewsBlotter: BBC: Long queues for Liberia election http://t.co/Z8yEuNL7 #news
2979,@scafone Siempre os queda seguir el (efectivo) recurso d las mujeres d Liberia (Nobel de la Paz) http://t.co/CeEBCgmn #armasdemujer
2021,RT @Africanelection: half way through voting in Liberia and so far everything looks good. The day is peaceful and people are excited abo ...
202,Gusta u really sound like a wicked and devilish gangsta. I wonder u really understand urself. ur love for some aspirants has really clouded ur mind and turned u so wicked and heartless. U refer to a fellow Liberian like that becuz of political difference?
1219,Liberia: Polls open in 2nd postwar election - USA Today http://t.co/5llhd9Fw
2640,Liberia: A time to change perceptions? - Features - Al Jazeera English http://t.co/DOKVHXYS via @ajenglish
141,RT @globalvoices: Liberia: Liberia Elections 2011 http://t.co/J43Arioj
4859,Who's watching Real TV? Journalist Patrick Hona just diplayed a sample ballot paper that is already marked at the 8th place. The Unity Party position on the ballot paper..
681,RT @AJEnglish: How will the #Nobel Peace Prize awarded to Ellen #Johnson-Sirleaf impact #Liberia's elections?... http://t.co/qfN5xMtV
3167,"@AB- Why is it so difficult to admit that, the Amb. Weah made a simple mistake and there nothing offensive about it"
2183,the rain is shower of blessings................
208,Maybe some guys just take facebook for play ground
745,"RT @spacearcheology: Myanmar, Liberia & the USA's non-adoption of the metric system hold us back from a Kardashev Type I (planetary) sys ..."
2743,Long queues for Liberia election: Liberian voters brave heavy rain to cast their ballots as President Ellen Johnson Sirleaf seeks to ...
1771,"RT @sonjasugira: Election day in Liberia. Looking forward to hearing from my colleague @ddieudonne, there now."
3982,"Liberia___°È_°È______°È____°Ès Tubman says sure of winning: Monrovia ___°È_°È______°È____°∞ Winston Tubman, the main rival in Liberia___°È_°È______°È____°Ès elections to incum... http://t.co/NauWsudf"
3687,Ok
411,Liberia kiest nieuwe president: Liberia kiest vandaag een nieuwe president. De huidige president Ellen Johnson-S... http://t.co/CibDI4TP
1,#LIBERIA ___°È_°È________°È La f___°Ø___°Ècheuse ing___°Ø___˝rence du comit___°Ø___˝ #Nobel dans la pr___°Ø___˝sidentielle | Courrier international http://t.co/6nFKBLei
1286,"this serious folks politics may be a game, but a serious game of peoples lives... my life, your life and liberian lives...  this serious,"
837,"RT @atejancole: Praying for successful, fair and transparent elections in Liberia."
1397,RT @bbchausa: Ana zaben Shugaban Kasa a Liberia: Al'umar Liberia sun fara kada kuri'a a zaben shugaban kasar wanda shi ne zabe... http:/ ...
2518,Nobel winner seeks re-election in Liberia http://t.co/D85jp9LD
688,"voting day in #liberia : who will Liberians vote for - ""monkey"" or ""baboon""?"
3313,"Politiske fanger blir l___°Ø____slatt i Burma, diktatorer g___°Ø___£§r av, gode valg i Liberia. Det g___°Ø___£§r bedre med den delen av verden som trenger det!"
1604,La presidenta de Liberia busca su reelecci___°Ø____n tras recibir el Nobel de la Paz | Internacional | EL PA___°Ø___çS http://t.co/kYKuIWm2 v___°Ø____a @el_pais
4332,#Africa #Business Liberia: Observers Delighted With Electoral Polls http://t.co/q7bUA3X3 http://t.co/hadXKJ04
2490,RT @moved2monrovia: RT @sarankjones: i uploaded some pics i took at polling stations around #Monrovia today. enjoy http://t.co/Iup8StCW  ...
1577,"Good Morning Liberia! As you head to the poll, VOTE your conscience, VOTE your heart, VOTE the RIGHT candidate!"
2564,"Ellen Johnson Sirleaf m___°Ø___˝rite-t-elle son Nobel?: Ellen Johnson Sirleaf, pr___°Ø___˝sidente du Liberia en exercice depuis... http://t.co/vrl0g4Gl"
108,ECOWAS Chief Poll Monitor Expects Transparent Liberia Vote: Attahiru Jega says earlier reports show Tue... http://t.co/ftzaKk0z via @VOA
4771,11:53 pm current count: UP-16239; CDC-14426; NUDP-3154; LP-2136; courtesy of RTV Liberia.
2998,"Excitement as election fever grips Liberia: Thousands of young men shouting, driving in pick-up trucks a... http://t.co/wtc5XsV6 #africa"
3486,Long live Mama Liberia. U r 1 in a million. I feel so proud being a Liberian.
2647,"wow high level of patriotism RT @nanawireko: Even with heavy rains, the elections in #Liberia bring large (cont) http://t.co/kE9T7r1A"
2237,RT @purefoyCNN: #Liberia heads to the polls (in the rain!) #cnn http://t.co/Lo6guPwV
3326,It is voting day in Liberia today.  Hoping E.Johnson Sirleaf is re-elected.
1066,"this serious folks politics may be a game, but a serious game of peoples lives... my life, your life and liberian lives...  this serious,"
3479,RT @pepesoup: 2day Liberia votes!!! not easyoooo
1796,Nobel peace prize could not have come at a better time for Liberia | Robtel Neajai Pailey http://t.co/Y95FKIDB via @guardian
1632,"RT @MichaelBlackson Who is in Ghana, Liberia or Nigeria? This Dick"
4619,"All of the updates and photos today are a total adrenaline rush, it's like I'm there again. I love it! :D #Liberia2011 #socialmediajunkie"
473,Liberia&#039;s Johnson-Sirleaf seeks new term in tight poll http://t.co/VQNJUTRT
1495,RT @klustout: #NScnn 8pHKT: Thailand floods; Myanmar prisoner release; U.S. drone virus; Liberia elections; citizen... http://t.co/99VVcIxH
